Date,Source,Grade,Converted
2026-05-04,LinkedIn,A,Yes
2026-05-04,Referral,B,No
2026-05-05,Website,B,No
2026-05-05,Google Ads,C,No
2026-05-06,LinkedIn,A,Yes
2026-05-06,Website,A,Yes
2026-05-07,Referral,B,No
2026-05-07,Google Ads,B,No
2026-05-08,Website,C,No
2026-05-08,LinkedIn,B,No
2026-05-09,Referral,A,Yes
2026-05-09,Website,B,No
2026-05-10,Google Ads,C,No
2026-05-10,LinkedIn,A,Yes
2026-05-11,LinkedIn,A,Yes
2026-05-11,Referral,B,No
2026-05-11,Website,A,Yes
2026-05-12,Google Ads,C,No
2026-05-12,LinkedIn,B,No
2026-05-12,Website,A,Yes
2026-05-13,Referral,A,Yes
2026-05-13,Website,B,No
2026-05-14,Google Ads,B,No
2026-05-14,LinkedIn,A,Yes
2026-05-15,Website,C,No
2026-05-15,Referral,B,No
2026-05-15,LinkedIn,A,Yes
2026-05-16,Google Ads,C,No
2026-05-16,Website,B,No
2026-05-17,LinkedIn,A,Yes
